CREATED_TIMESTAMP,METRIC_VALUE_FLOAT
05-MAY-19 01.30.00 AM,0.56
05-MAY-19 01.00.00 AM,0.67
05-MAY-19 12.30.00 AM,0.86
05-MAY-19 12.45.00 AM,0.61
05-MAY-19 12.05.00 AM,0.72
05-MAY-19 12.10.00 AM,1.01
05-MAY-19 12.15.00 AM,1.03
05-MAY-19 12.15.00 AM,1.03
05-MAY-19 12.00.00 AM,1.02
05-MAY-19 12.00.00 AM,1.02
05-MAY-19 11.55.00 PM,0.72
05-MAY-19 11.50.00 PM,0.58
05-MAY-19 11.45.00 PM,0.99
05-MAY-19 11.15.00 PM,0.95
05-MAY-19 11.30.00 PM,1.19
05-MAY-19 10.45.00 PM,1.07
05-MAY-19 11.00.00 PM,1.31
05-MAY-19 10.30.00 PM,0.97
05-MAY-19 10.00.00 PM,2.08
05-MAY-19 10.15.00 PM,1.42
05-MAY-19 09.30.00 PM,1.4
05-MAY-19 09.45.00 PM,1.87
05-MAY-19 09.15.00 PM,1.49
05-MAY-19 08.45.00 PM,2.73
05-MAY-19 09.00.00 PM,1.84
05-MAY-19 08.15.00 PM,2.82
05-MAY-19 08.30.00 PM,2.19
05-MAY-19 08.00.00 PM,3.09
05-MAY-19 07.30.00 PM,2.29
05-MAY-19 07.45.00 PM,2.19
05-MAY-19 07.00.00 PM,2.05
05-MAY-19 07.15.00 PM,2.75
05-MAY-19 06.45.00 PM,1.97
